id,user,created_at,text,clean_text
1004455155037884416,kuba_suder,2018-06-06 20:09:05,"Wow, that CreateML demo at State of the Union with training a model to recognize flowers with a few lines of code is seriously some dark magic shit 😳 #wwdc",Wow that CreateML demo at State of the Union with training a model to recognize flowers with a few lines of code is seriously some dark magic shit  wwdc
1004454641260728320,fsanuy,2018-06-06 20:07:02,New #USDZ 3D support for #AR by #Apple annouced at #WWDC 2018 with some great #Partners like @Sketchfab https://t.co/0YWfwEkStb,New USDZ 3D support for AR by Apple annouced at WWDC 2018 with some great Partners like Sketchfab  
1004452931154923520,DigitizedHouse,2018-06-06 20:00:15,"Apple #Home app finally arrives on #Mac with macOS #Mojave upgrade, enabling #HomeKit accessory control with #Siri or clicks https://t.co/ymH27eKEgJ #connectedhome #apple #macos #ios12 #smarthome #homeautomation #iot #iMac #MacBook #AppleHomeApp #WWDC #WWDC2018",Apple Home app finally arrives on Mac with macOS Mojave upgrade enabling HomeKit accessory control with Siri or clicks   connectedhome apple macos ios12 smarthome homeautomation iot iMac MacBook AppleHomeApp WWDC WWDC2018
1004452438751899649,IntegoSecurity,2018-06-06 19:58:17,"#macOSMojave: New Interface Options, Under the Hood Refinements https://t.co/cqrOWXmYqT #Apple #WWDC https://t.co/BFgDVvXu5a",macOSMojave New Interface Options Under the Hood Refinements   Apple WWDC  
1004452338017292289,sevenxr,2018-06-06 19:57:53,#wwdc archaeology... y’all missing out. #wwdc2018 https://t.co/YMWaIEN7ej,wwdc archaeology yall missing out wwdc2018  
1004451534493528064,patterson_home,2018-06-06 19:54:42,"Our next workshop will start at 1 pm. ""Don't miss "" Building an iOS App with millions of users -  Scale, Secure, Engage"". #AltConf #WWDC @developerWorks",Our next workshop will start at 1 pm Don't miss  Building an iOS App with millions of users   Scale Secure Engage AltConf WWDC developerWorks
1004450152872964096,Catfish_Man,2018-06-06 19:49:12,"Heading back to the office for now; labs were great, helped some folks out, and got a great testcase for a previously unknown crash. See y’all at the Foundation lab tomorrow afternoon 😊 #wwdc",Heading back to the office for now labs were great helped some folks out and got a great testcase for a previously unknown crash See yall at the Foundation lab tomorrow afternoon  wwdc
1004450143582740481,BlueBite,2018-06-06 19:49:10,"Blue Bite CPO Paul Knight recaps #WWDC and reveals whether his predictions were right. Looks like he's not far off... 
https://t.co/vHICfeZVP4",Blue Bite CPO Paul Knight recaps WWDC and reveals whether his predictions were right Looks like he's not far off   
1004449652203089921,nicksak,2018-06-06 19:47:13,"AR demo at the Game Room at #WWDC18
#augmentedreality #ar #wwdc #wwdc2018 https://t.co/ZoXi1kWqtc",AR demo at the Game Room at WWDC18 augmentedreality ar wwdc wwdc2018  
1004448902756487168,kundandewani,2018-06-06 19:44:14,"Hey @rajavijayaraman , many congratulations for ur app recognition. Tumhe toh reward mil gaya, now make ur app free for sometime 😉 “khushiyan baatne sey badhti hai dost !” #Calzy 3 #India #WWDC #love #calculator",Hey rajavijayaraman  many congratulations for ur app recognition Tumhe toh reward mil gaya now make ur app free for sometime  khushiyan baatne sey badhti hai dost  Calzy 3 India WWDC love calculator
1004448730471378944,etanowitz,2018-06-06 19:43:33,"My first time at #WWDC. Who else is here? (@ WWDC 2018 in San Jose, CA) https://t.co/TAHgHB2hhE https://t.co/PMrCtFHP0l",My first time at WWDC Who else is here  WWDC 2018 in San Jose CA    
1004448670631116800,michalcodes,2018-06-06 19:43:19,"Is it just me or is #iOS12 beta 1 actually perform better than #iOS11.4?! For the first year ever, I may retract my wait statement for #iOSbeta. #WWDC #WWDC2018 #WWDC18 #apple #iPhone #iOS #keynote",Is it just me or is iOS12 beta 1 actually perform better than iOS114 For the first year ever I may retract my wait statement for iOSbeta WWDC WWDC2018 WWDC18 apple iPhone iOS keynote
1004448501709856769,JO_ADAM,2018-06-06 19:42:39,"WWDC app too slow for streaming/downloading?
#wwdc #dubdub",WWDC app too slow for streamingdownloading wwdc dubdub
1004445173449777153,andytrice,2018-06-06 19:29:25,"At #WWDC and want to learn a little about scalable back-ends for you iOS apps?  Come next door to #AltConf and check out @jkingoliver &amp; my saession ""Scalable iOS Applications with Serverless and Kubernetes"" Thursday at 11AM!",At WWDC and want to learn a little about scalable backends for you iOS apps  Come next door to AltConf and check out jkingoliver and my saession Scalable iOS Applications with Serverless and Kubernetes Thursday at 11AM
1004444760810061824,russshanahan,2018-06-06 19:27:47,"Wow, this will completely change how I use TestFlight. #wwdc https://t.co/jjdo5lQE76",Wow this will completely change how I use TestFlight wwdc  
1004441664189026305,TheYosef95,2018-06-06 19:15:29,apple has just created the perfect penis measurement tool #WWDC18 #WWDC #WWDC2018,apple has just created the perfect penis measurement tool WWDC18 WWDC WWDC2018
1004441481598259200,evankirstel,2018-06-06 19:14:45,Time to start building your own emoji #iOS12 #apple #WWDC https://t.co/3ZlOAGh0tW,Time to start building your own emoji iOS12 apple WWDC  
1004441369790767104,steipete,2018-06-06 19:14:18,Don’t forget the lunchtime sessions - they are not recorded! #WWDC https://t.co/yP1vM4pnui,Dont forget the lunchtime sessions  they are not recorded WWDC  
1004441067897290752,AydenGebranWWDC,2018-06-06 19:13:06,What's your favourite colour? #wwdc https://t.co/1hdBPZbbzu,What's your favourite colour wwdc  
1004441039342657536,SergioG_MX,2018-06-06 19:13:00,"Retweeted Fender (@Fender):

Yesterday you saw the @Apple #WWDC demo featuring the Fender Mod Shop, now go check it out for yourself! (U.S. only) https://t.co/9bVU3Pe1H0 https://t.co/8WvRZsRBof",Retweeted Fender Fender  Yesterday you saw the Apple WWDC demo featuring the Fender Mod Shop now go check it out for yourself US only    
1004441010137518081,neferwrites,2018-06-06 19:12:53,"I cannot tell you how happy this makes me. 😊

https://t.co/AuoLjonkYc

#GoogleMaps #WWDC #carplay",I cannot tell you how happy this makes me      GoogleMaps WWDC carplay
1004440626992050178,asmallteapot,2018-06-06 19:11:21,I’ll be at #WWDC this afternoon through Friday! Would love to say hi to my Twitter friends between sessions ☺️,Ill be at WWDC this afternoon through Friday Would love to say hi to my Twitter friends between sessions 
1004440171494834176,char_fish,2018-06-06 19:09:33,#WWDC18 - 50% complete!! #WWDC,WWDC18  50 complete WWDC
1004440043048468480,jerols,2018-06-06 19:09:02,Heading to San Pedro square for casual lunch - feel free to join #wwdc,Heading to San Pedro square for casual lunch  feel free to join wwdc
1004439734234599429,pauljadam,2018-06-06 19:07:48,Designing Web Content for watchOS - #WWDC 2018 - Videos - Apple Developer https://t.co/tmfEsKxJzu,Designing Web Content for watchOS  WWDC 2018  Videos  Apple Developer  
