"Main","AverageVVolume"
" ADELAIDE ST E ",9111
" ADELAIDE ST W ",8873
" ALBION RD ",16368
" ALLIANCE AVE ",8348
" ALNESS ST ",8882
" ANNETTE ST ",9363
" ASHTONBEE RD ",7898
" ATTWELL DR ",6967
" AVENUE RD ",20806
" BAMBURGH CRCL ",3793
" BATHURST ST ",17628
" BAY ST ",14905
" BAYVIEW AVE ",22954
" BEECROFT RD ",8072
" BELFIELD RD ",7643
" BELLAMY RD N ",8821
" BERMONDSEY RD ",9826
" BIRCHMOUNT RD ",13379
" BLACK CREEK DR ",25389
" BLOOR ST ",13208
" BLOOR ST E ",18324
" BLOOR ST W ",14314
" BONIS AVE ",4677
" BREMNER BLVD ",6892
" BRENTCLIFFE RD ",10837
" BRENYON WAY ",2748
" BRIDLETOWNE CRCL ",5174
" BRIMLEY RD ",15151
" BRITISH COLUMBIA RD ",5836
" BROADVIEW AVE ",10976
" BROWNS LINE ",17035
" BURNHAMTHORPE RD ",21897
" CALEDONIA RD ",12589
" CARLINGVIEW DR ",8991
" CARLTON ST ",6903
" CASTLEFIELD AVE ",10037
" CHAPLIN CRES ",8121
" CHERRY ST ",10718
" CHESSWOOD DR ",9870
" CHRISTIE ST ",6708
" CHURCH ST ",10926
" CLONMORE DR ",11986
" COLLEGE ST ",11187
" COMMISSIONERS ST ",5029
" COMSTOCK RD ",6961
" CONSILIUM PL ",9144
" CONSUMERS RD ",9725
" CORPORATE DR ",6631
" COSBURN AVE ",8030
" COXWELL AVE ",10017
" CUMMER AVE ",11606
" DANFORTH AVE ",13493
" DANFORTH RD ",11564
" DAVENPORT RD ",13116
" DAWES RD ",7738
" DIXON RD ",19058
" DON MILLS RD ",23764
" DON MILLS RD E ",7937
" DON MILLS RD W ",9311
" DONLANDS AVE ",12599
" DORIS AVE ",9416
" DOVERCOURT RD ",9251
" DREWRY AVE ",9696
" DUFFERIN ST ",18158
" DUNDAS ST E ",10455
" DUNDAS ST W ",15587
" DUPLEX AVE ",6813
" DUPONT ST ",13921
" DWIGHT AVE ",3580
" EASTERN AVE ",11000
" EGLINTON AVE E ",23893
" EGLINTON AVE W ",19006
" ELLESMERE RD ",16521
" ESTHER SHINER BLVD ",3914
" EVANS AVE ",12861
" FAIRVIEW MALL DR ",10533
" FENMAR DR ",8958
" FINCH AVE E ",19714
" FINCH AVE W ",19792
" FORT YORK BLVD ",7407
" FRONT ST E ",9482
" FRONT ST W ",10524
" GARDINER E PARK LAWN RD RAMP ",7957
" GATEWAY BLVD ",5742
" GERRARD ST E ",11184
" GERRARD ST W ",9072
" GRANTBROOK ST ",4454
" GREENWOOD AVE ",9180
" GUILDWOOD PKWY ",6900
" GUNNS RD ",4240
" HALLAM ST ",7058
" HARBORD ST ",8546
" HARBOUR ST ",13737
" HIGHWAY 27 ",24059
" HORNER AVE ",7550
" HOSKIN AVE ",6686
" HUMBER COLLEGE BLVD ",8586
" HUMBERWOOD BLVD ",7890
" HUNTINGWOOD DR ",8310
" IAN MACDONALD BLVD ",10778
" INGRAM DR ",7108
" ISLINGTON AVE ",16708
" JANE ST ",16788
" JARVIS ST ",17037
" KEELE ST ",17935
" KENNEDY RD ",22839
" KING ST E ",9041
" KING ST W ",10934
" KINGSTON RD ",18158
