"Tcs","Main","Side1Route","Latitude","Longitude","SumOfTotalVolume"
70," BAY ST "," BLOOR ST W ",43.669701,-79.389468,105731
648," SHEPPARD AVE E "," BAYVIEW AVE ",43.7666244,-79.388044,101992
125," YONGE ST "," SHEPPARD AVE ",43.7615144,-79.410903,100952
25," BLOOR ST E "," CHURCH ST ",43.6710224,-79.383123,97401
66," DUNDAS ST W "," BAY ST ",43.655721,-79.383734,97032
131," YONGE ST "," STEELES AVE ",43.798049,-79.420064,96976
81," UNIVERSITY AVE "," DUNDAS ST W ",43.654812,-79.388484,93600
36," YONGE ST "," DUNDAS ST ",43.656326,-79.380912,91080
38," YONGE ST "," CARLTON ST ",43.6613687,-79.383094,90936
1407," WILLIAM R ALLEN RD "," SHEPPARD AVE W ",43.75028,-79.46338,90338
