"Main","WeekDay","SumOfTotalVolume"
" ADELAIDE ST E ","Thursday",44320
" ADELAIDE ST E ","Tuesday",66272
" ADELAIDE ST E ","Wednesday",24190
" ADELAIDE ST W ","Thursday",41713
" ADELAIDE ST W ","Tuesday",87875
" ADELAIDE ST W ","Wednesday",46510
" ALBION RD ","Monday",14758
" ALBION RD ","Saturday",84658
" ALBION RD ","Tuesday",276316
" ALBION RD ","Wednesday",300916
" ALLIANCE AVE ","Thursday",9278
" ALLIANCE AVE ","Tuesday",8538
" ALNESS ST ","Monday",20362
" ALNESS ST ","Tuesday",52075
" ANNETTE ST ","Monday",16940
" ANNETTE ST ","Thursday",72632
" ANNETTE ST ","Tuesday",16546
" ASHTONBEE RD ","Monday",16740
" ATTWELL DR ","Monday",13996
" AVENUE RD ","Monday",358215
" AVENUE RD ","Saturday",39938
" AVENUE RD ","Thursday",308410
" AVENUE RD ","Tuesday",308287
" AVENUE RD ","Wednesday",334545
" BAMBURGH CRCL ","Monday",8920
" BATHURST ST ","Monday",435646
" BATHURST ST ","Saturday",482755
" BATHURST ST ","Sunday",34922
" BATHURST ST ","Thursday",216316
" BATHURST ST ","Tuesday",482459
" BATHURST ST ","Wednesday",496713
" BAY ST ","Monday",48508
" BAY ST ","Thursday",589737
" BAY ST ","Tuesday",288654
" BAY ST ","Wednesday",315484
" BAYVIEW AVE ","Monday",405044
" BAYVIEW AVE ","Saturday",71651
" BAYVIEW AVE ","Thursday",282077
" BAYVIEW AVE ","Tuesday",370642
" BAYVIEW AVE ","Wednesday",239715
" BEECROFT RD ","Thursday",52120
" BEECROFT RD ","Wednesday",17732
" BELFIELD RD ","Wednesday",15404
" BELLAMY RD N ","Monday",14506
" BELLAMY RD N ","Thursday",10884
" BELLAMY RD N ","Tuesday",24556
" BELLAMY RD N ","Wednesday",23684
" BERMONDSEY RD ","Monday",23230
" BERMONDSEY RD ","Tuesday",16616
" BIRCHMOUNT RD ","Monday",80401
" BIRCHMOUNT RD ","Saturday",32655
" BIRCHMOUNT RD ","Thursday",81312
" BIRCHMOUNT RD ","Tuesday",158157
" BIRCHMOUNT RD ","Wednesday",281936
" BLACK CREEK DR ","Monday",56296
" BLACK CREEK DR ","Thursday",41580
" BLACK CREEK DR ","Wednesday",158160
" BLOOR ST ","Saturday",52248
" BLOOR ST ","Thursday",37733
" BLOOR ST E ","Monday",25419
" BLOOR ST E ","Saturday",73291
" BLOOR ST E ","Thursday",128384
" BLOOR ST E ","Tuesday",100834
" BLOOR ST W ","Monday",232293
" BLOOR ST W ","Saturday",90418
" BLOOR ST W ","Thursday",499669
" BLOOR ST W ","Tuesday",452388
" BLOOR ST W ","Wednesday",474760
" BONIS AVE ","Thursday",12822
" BREMNER BLVD ","Monday",14090
" BREMNER BLVD ","Wednesday",16964
" BRENTCLIFFE RD ","Wednesday",23102
" BRENYON WAY ","Thursday",5662
